CO,dew,H,NO2,O3,Pressure,pm10,pm25,SO2,Temp,W,WG,Time
1.1,20,87.5,6.1,4,1010.5,7,12,1.7,21,5.6,10.2,2023-07-06 07:00:00

1.5,21,85.5,7,4.4,1012,10,16,1.7,23,6.6,10.2,2023-07-06 08:00:00

1.5,21,85.5,7,4.4,1012,10,16,1.7,23,6.6,10.2,2023-07-06 08:00:00

1.5,21,85.5,7,4.4,1012,10,16,1.7,23,6.6,10.2,2023-07-06 08:00:00

2.3,22,82.75,7.2,4.1,1012,9,14,1.7,24,7.2,10.2,2023-07-06 09:00:00

2.3,22,82.75,7.2,4.1,1012,9,14,1.7,24,7.2,10.2,2023-07-06 09:00:00

2.4,23,77,8.3,4.6,1013,17,32,1.7,25,6.6,10.2,2023-07-06 11:00:00

2.4,23,77,8.3,4.6,1013,17,32,1.7,25,6.6,10.2,2023-07-06 11:00:00

1.5,21,67,7,5.3,1012,20,35,2.2,27,6.9,10.2,2023-07-06 13:00:00

1.5,21,67,7,5.3,1012,20,35,2.2,27,6.9,10.2,2023-07-06 13:00:00

1.5,21,67,7,5.3,1012,20,35,2.2,27,6.9,10.2,2023-07-06 13:00:00

1.5,21,63,7.3,6,1011,17,31,0.9,28,6.6,10.2,2023-07-06 14:00:00

1.5,21,63,7.3,6,1011,17,31,0.9,28,6.6,10.2,2023-07-06 14:00:00

1.5,21,63,7.3,6,1011,17,31,0.9,28,6.6,10.2,2023-07-06 14:00:00

1.5,21,63,7.3,6,1011,17,31,0.9,28,6.6,10.2,2023-07-06 14:00:00

1.5,21,63,7.3,6,1011,17,31,0.9,28,6.6,10.2,2023-07-06 14:00:00

1.7,22,67.25,7.7,5.7,1011,17,31,2.4,27,6.6,10.2,2023-07-06 15:00:00

1.7,20,73,8.4,5.2,1012,13,24,2.9,23,7.2,10.2,2023-07-06 19:00:00

1.7,20,73,8.4,5.2,1012,13,24,2.9,23,7.2,10.2,2023-07-06 19:00:00

1.7,20,73,8.4,5.2,1012,13,24,2.9,23,7.2,10.2,2023-07-06 19:00:00


